Id": "VGT_d83add5ad714", "Action": "A3", "CreatedDate": "2021-01-01 00:02:25"}
2021-01-01 00:02:25 [info     / 112kB] Received message on topic: b'vgppq/VGT_d83add5ad714', message: b'{"MachineId":"VGT_d83add5ad714","TradeNo":"T1609459345","Action":"S3","Status":"00"}'
2021-01-01 00:00:35 [info     / 125kB] Received message on topic: b'vgppq/VGT_d83add5ad714', message: b'{"MachineId":"VGT_d83add5ad714","TradeNo":"T1609459235","Action":"S3","Status":"00"}'
2021-01-01 00:00:37 [info     / 122kB] Incoming data from MB: 5e3e
2021-01-01 00:00:38 [info     / 120kB] Incoming data from ICT: 8140
2021-01-01 00:00:38 [info     / 118kB] Device has accepted bill....
2021-01-01 00:00:38 [info     / 116kB] Sending Data to MB: 81
2021-01-01 00:00:39 [info     / 113kB] Sending Data to MB: 40
2021-01-01 00:00:39 [info     / 111kB] Incoming data from MB: 02
2021-01-01 00:00:39 [info     / 109kB] MotherBoard has returned acknowledgement....
2021-01-01 00:00:39 [info     / 141kB] RM 1
2021-01-01 00:00:40 [info     / 139kB] Incoming data from ICT: 10
2021-01-01 00:00:40 [info     / 137kB] MotherBoard has received cash...
2021-01-01 00:00:40 [info     / 135kB] Sending Data to MB: 10
2021-01-01 00:00:40 [info     / 132kB] {"VersionNo": "V1.0", "Amount": "8140", "TradeNo": "T1609459240", "MachineId": "VGT_d83add5ad714", "Action": "A3", "CreatedDate": "2021-01-01 00:00:40"}
2021-01-01 00:00:40 [info     / 129kB] Received message on topic: b'vgppq/VGT_d83add5ad714', message: b'{"MachineId":"VGT_d83add5ad714","TradeNo":"T1609459240","Action":"S3","Status":"00"}'
2021-01-01 00:00:42 [info     / 126kB] Incoming data from MB: 5e3e
2021-01-01 00:00:44 [info     / 124kB] Incoming data from ICT: 8140
2021-01-01 00:00:44 [info     / 122kB] Device has accepted bill....
2021-01-01 00:00:44 [info     / 120kB] Sending Data to MB: 81
2021-01-01 00:00:44 [info     / 118kB] Sending Data to MB: 40
2021-01-01 00:00:45 [info     / 115kB] Incoming data from MB: 02
2021-01-01 00:00:45 [info     / 113kB] MotherBoard has returned acknowledgement....
2021-01-01 00:00:45 [info     / 111kB] RM 1
2021-01-01 00:00:45 [info     / 109kB] Incoming data from ICT: 10
2021-01-01 00:00:45 [info     / 141kB] MotherBoard has received cash...
2021-01-01 00:00:45 [info     / 139kB] Sending Data to MB: 10
2021-01-01 00:00:45 [info     / 136kB] {"VersionNo": "V1.0", "Amount": "8140", "TradeNo": "T1609459245", "MachineId": "VGT_d83add5ad714", "Action": "A3", "CreatedDate": "2021-01-01 00:00:45"}
2021-01-01 00:00:46 [info     / 133kB] Received message on topic: b'vgppq/VGT_d83add5ad714', message: b'{"MachineId":"VGT_d83add5ad714","TradeNo":"T1609459245","Action":"S3","Status":"00"}'
2021-01-01 00:00:48 [info     / 130kB] Incoming data from MB: 5e3e
2021-01-01 00:00:50 [info     / 128kB] Checking Device Status...
2021-01-01 00:00:50 [info     / 126kB] Sending data to ICT: 0C
2021-01-01 00:00:50 [info     / 124kB] Incoming data from ICT: 3e
2021-01-01 00:00:50 [info     / 122kB] Controller Accept Bill
2021-01-01 00:01:05 [info     / 120kB] Checking Device Status...
2021-01-01 00:01:05 [info     / 128kB] Sending data to ICT: 0C
2021-01-01 00:01:05 [info     / 125kB] Incoming data from ICT: 3e
2021-01-01 00:01:05 [info     / 123kB] Controller Accept Bill
2021-01-01 00:01:20 [info     / 121kB] Checking Device Status...
2021-01-01 00:01:20 [info     / 119kB] Sending data to ICT: 0C
2021-01-01 00:01:21 [info     / 117kB] Incoming data from ICT: 3e
2021-01-01 00:01:21 [info     / 115kB] Controller Accept Bill
2021-01-01 00:01:28 [info     / 141kB] {"VersionNo": "V1.0", "Action": "A2", "TradeNo": "T1609459288", "ICTStatus": "00", "MachineId": "VGT_d83add5ad714", "MBStatus": "01"}
2021-01-01 00:01:36 [info     / 138kB] Checking Device Status...
2021-01-01 00:01:36 [info     / 136kB] Sending data to ICT: 0C
2021-01-01 00:01:36 [info     / 134kB] Incoming data from ICT: 3e
2021-01-01 00:01:36 [info     / 132kB] Controller Accept Bill
2021-01-01 00:01:42 [info     / 130kB] Incoming data from ICT: 8140
2021-01-01 00:01:43 [info     / 128kB] Device has accepted bill....
2021-01-01 00:01:43 [info     / 125kB] Sending Data to MB: 81
2021-01-01 00:01:43 [info     / 123kB] Sending Data to MB: 40
2021-01-01 00:01:43 [info     / 121kB] Incoming data from MB: 02
2021-01-01 00:01:43 [info     / 141kB] MotherBoard has returned acknowledgement....
2021-01-01 00:01:43 [info     / 139kB] RM 1
2021-01-01 00:01:44 [info     / 137kB] Incoming data from ICT: 10
2021-01-01 00:01:44 [info     / 135kB] MotherBoard has received cash...
2021-01-01 00:01:44 [info     / 133kB] Sending Data to MB: 10
2021-01-01 00:01:44 [info     / 130kB] {"VersionNo": "V1.0", "Amount": "8140", "TradeNo": "T1609459304", "MachineId": "VGT_d83add5ad714", "Action": "A3", "CreatedDate": "2021-01-01 00:01:44"}
2021-01-01 00:01:44 [info     / 127kB] Received message on topic: b'vgppq/VGT_d83add5ad714', message: b'{"MachineId":"VGT_d83add5ad714","TradeNo":"T1609459304","Action":"S3","Status":"00"}'
2021-01-01 00:01:46 [info     / 124kB] Incoming data from MB: 5e3e
2021-01-01 00:01:54 [info     / 122kB] Checking Device Status...
2021-01-01 00:01:54 [info     / 120kB] Sending data to ICT: 0C
2021-01-01 00:01:54 [info     / 118kB] Incoming data from ICT: 3e
2021-01-01 00:01:54 [info     / 116kB] Controller Accept Bill
2021-01-01 00:02:09 [info     / 142kB] Checking Device Status...
2021-01-01 00:02:09 [info     / 139kB] Sending data to ICT: 0C
2021-01-01 00:02:09 [info     / 137kB] Incoming data from ICT: 3e
2021-01-01 00:02:09 [info     / 135kB] Controller Accept Bill
2021-01-01 00:00:01 [info     / 155kB] MB UART is Starting....
2021-01-01 00:00:01 [info     / 162kB] ICT UART is Starting....
2021-01-01 00:00:01 [info     / 159kB] Registering Reset Button...
2021-01-01 00:00:01 [info     / 157kB] Registering LED Pins...

